player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net
Max Aarons,ENG,DF,Bournemouth,25,1996,3,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joshua Acheampong,ENG,DF,Chelsea,18,2003,2,2,160,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.12,0.12,1.8,0,0,0,0,0,0,0.11,-0.2,-0.2
Tyler Adams,USA,MF,Bournemouth,25,1996,12,7,686,0,1,0,0,4,0,0,0.13,0.13,0,0.13,1.1,1.1,0.14,0.14,7.6,1,0,20,0.13,0,0,0.21,-1.1,-1.1
Tosin Adarabioyo,ENG,DF,Chelsea,27,1994,10,7,643,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.04,0.04,7.1,1,0,20,0.14,0,0,0.06,-0.3,-0.3
Simon Adingra,CIV,FW/MF,Brighton,23,1998,15,6,553,2,1,0,0,0,0,0.33,0.16,0.49,0.33,0.49,1.4,1.4,0.23,0.23,6.1,4,0,30.8,0.65,0.15,0.5,0.11,0.6,0.6
Emmanuel Agbadou,CIV,DF,Wolves,27,1994,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Asher Agbinone,ENG,MF,Crystal Palace,19,2002,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29,0.1,0,0,0,0,0,0,0.02,0,0
Ola Aina,NGA,DF,Nott'ham Forest,28,1993,22,22,1913,2,1,0,0,2,0,0.09,0.05,0.14,0.09,0.14,0.6,0.6,0.03,0.03,21.3,2,0,28.6,0.09,0.29,1,0.08,1.4,1.4
Rayan Aït-Nouri,ALG,DF,Wolves,23,1998,20,20,1722,3,5,0,0,6,1,0.16,0.26,0.42,0.16,0.42,1.5,1.5,0.08,0.08,19.1,4,0,22.2,0.21,0.17,0.75,0.09,1.5,1.5
Kristoffer Ajer,NOR,DF,Brentford,26,1995,10,9,717,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.06,0.06,8,2,0,66.7,0.25,0,0,0.17,-0.5,-0.5
Manuel Akanji,SUI,DF,Manchester City,29,1992,18,18,1527,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.03,0.03,17,1,0,11.1,0.06,0,0,0.06,-0.5,-0.5
Nathan Aké,NED,DF,Manchester City,29,1992,9,7,602,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.03,0.03,6.7,0,0,0,0,0,0,0.07,-0.2,-0.2
Carlos Alcaraz,ARG,MF,Southampton,22,1999,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.62,0.62,0.1,1,0,100,9,0,0,0.07,-0.1,-0.1
Trent Alexander-Arnold,ENG,DF,Liverpool,26,1995,20,19,1575,1,5,0,0,4,0,0.06,0.29,0.34,0.06,0.34,0.9,0.9,0.05,0.05,17.5,4,2,16,0.23,0.04,0.25,0.04,0.1,0.1
Alisson,BRA,GK,Liverpool,32,1989,13,13,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,30,1991,8,1,154,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.27,0.27,1.7,1,0,20,0.58,0,0,0.09,-0.5,-0.5
Edson Álvarez,MEX,MF,West Ham,27,1994,18,13,1141,0,0,0,0,7,1,0,0,0,0,0,0.2,0.2,0.02,0.02,12.7,1,0,11.1,0.08,0,0,0.02,-0.2,-0.2
Will Alves,ENG,FW,Leicester City,19,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel Amo-Ameyaw,ENG,FW/DF,Southampton,18,2003,2,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0.07,0.07,0.3,0,0,0,0,0,0,0.02,0,0
Joachim Andersen,DEN,DF,Crystal Palace,28,1993,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0.04,1,1,0,100,1,0,0,0.04,0,0
Joachim Andersen,DEN,DF,Fulham,28,1993,13,13,1143,0,0,0,0,2,1,0,0,0,0,0,0.2,0.2,0.02,0.02,12.7,2,0,25,0.16,0,0,0.03,-0.2,-0.2
