squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net
Arsenal,24.0,55.5,22.0,242.0,1980.0,41.0,32.0,2.0,2.0,50.0,3.0,1.86,1.45,3.32,1.77,3.23,36.6,35.1,0.0,1.67,0.0,0.0,1.6,0.0,0.0,107.0,2.0,35.0,0.0,4.86,0.13,0.36,0.12,4.4,3.9
Aston Villa,23.0,49.7,22.0,242.0,1980.0,32.0,25.0,2.0,3.0,48.0,2.0,1.45,1.14,2.59,1.36,2.5,32.9,30.5,0.0,1.49,0.0,0.0,1.39,0.0,0.0,85.0,6.0,31.1,0.0,3.86,0.11,0.35,0.12,-0.9,-0.5
Bournemouth,27.0,45.9,22.0,242.0,1980.0,36.0,26.0,6.0,7.0,57.0,0.0,1.64,1.18,2.82,1.36,2.55,42.4,36.8,0.0,1.93,0.0,0.0,1.67,0.0,0.0,118.0,6.0,33.5,0.0,5.36,0.09,0.25,0.11,-6.4,-6.8
Brentford,26.0,47.4,22.0,242.0,1980.0,40.0,26.0,3.0,3.0,33.0,1.0,1.82,1.18,3.0,1.68,2.86,35.2,32.8,0.0,1.6,0.0,0.0,1.49,0.0,0.0,105.0,5.0,43.8,0.0,4.77,0.15,0.35,0.14,4.8,4.2
Brighton,30.0,52.4,22.0,242.0,1980.0,34.0,22.0,1.0,1.0,47.0,1.0,1.55,1.0,2.55,1.5,2.5,30.8,30.0,0.0,1.4,0.0,0.0,1.36,0.0,0.0,103.0,16.0,33.3,0.0,4.68,0.11,0.32,0.1,3.2,3.0
Chelsea,25.0,58.1,21.0,231.0,1890.0,41.0,31.0,3.0,3.0,62.0,1.0,1.95,1.48,3.43,1.81,3.29,42.1,39.8,0.0,2.01,0.0,0.0,1.89,0.0,0.0,120.0,13.0,35.5,0.0,5.71,0.11,0.32,0.12,-1.1,-1.8
Crystal Palace,25.0,43.7,22.0,242.0,1980.0,24.0,19.0,2.0,2.0,45.0,1.0,1.09,0.86,1.95,1.0,1.86,30.1,28.5,0.0,1.37,0.0,0.0,1.3,0.0,0.0,105.0,9.0,34.9,0.0,4.77,0.07,0.21,0.1,-6.1,-6.5
Everton,24.0,40.5,21.0,231.0,1890.0,15.0,9.0,0.0,0.0,44.0,1.0,0.71,0.43,1.14,0.71,1.14,21.1,21.1,0.0,1.01,0.0,0.0,1.01,0.0,0.0,71.0,10.0,29.8,0.0,3.38,0.06,0.21,0.09,-6.1,-6.1
Fulham,25.0,52.9,22.0,242.0,1980.0,33.0,29.0,3.0,4.0,51.0,2.0,1.5,1.32,2.82,1.36,2.68,31.7,28.5,0.0,1.44,0.0,0.0,1.3,0.0,0.0,100.0,7.0,32.8,0.0,4.55,0.1,0.3,0.1,1.3,1.5
Ipswich Town,30.0,40.6,22.0,242.0,1980.0,19.0,13.0,2.0,2.0,58.0,2.0,0.86,0.59,1.45,0.77,1.36,20.0,18.4,0.0,0.91,0.0,0.0,0.84,0.0,0.0,67.0,5.0,33.0,0.0,3.05,0.08,0.25,0.09,-1.0,-1.4
